;;Top level;Additional top level;Level 2;Level 2;Level 2;
;"""Photography""";Creative & Crafts;Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Home and Family;;
;"""Beekeeping""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;Home and Family;;
;"""Trail Hunting""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;;;
;"""Camping""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;Home and Family;;
;"""Knitting""";Creative & Crafts;;;Home and Family;;
;"""Tai Chi""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;;;;
;"""Martial Arts""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;;;;
;"""Meditation""";Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;;Home and Family;;
;"""Reading""";Creative & Crafts;;;Home and Family;;
;"""Going to the Pub""";Indoor Recreation;;;Home and Family;;
;"""Painting""";Creative & Crafts;;;;;
;"""DIY""";Indoor Recreation;;;Home and Family;;
;"""Crafts""";Creative & Crafts;;;Home and Family;;
;"""Playing Records""";Creative & Crafts;Indoor Recreation;Music;Home and Family;;
;"""Make Music""";Creative & Crafts;Indoor Recreation;Music;Home and Family;;
;"""Busking""";Creative & Crafts;Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Music;;;
;"""Park Chess""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;;;;
;"""Sailing""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Water Sports;Nature Activities;Action Sports;
;"""Windsurfing""";Active Sports (Team Sports, Individual Sports, Water Sports);Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Water Sports;;Action Sports;
;"""Cricket""";Active Sports (Team Sports, Individual Sports, Water Sports);;Team Sports;;;
;"""Rugby""";Active Sports (Team Sports, Individual Sports, Water Sports);;Team Sports;;;
;"""Stargazing""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;;;
;"""Basketball (Outdoor)""";Active Sports (Team Sports, Individual Sports, Water Sports);;Team Sports;;;
;"""Skateboarding""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;;Skating;Action Sports;
;"""Frisbee""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;;Home and Family;Action Sports;
;"""Yoga in the Park""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);;;;
;"""Outdoor Gym""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Fitness;;;
;"""Rollerblading""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Fitness;Skating;Action Sports;
;"""Painting Outdoors""";Creative & Crafts;;;;;
;"""Walking the Dog""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;Nature Activities;Home and Family;;
;"""Reading in the Park""";Creative & Crafts;;;;;
;"""Outdoor Meditation""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);Fitness & Wellness (Gym Activities, Running, Yoga, Mindfulness);Nature Activities;Mindfulness;;
;"""Playground Time""";Outdoor Activities (Hiking, Fishing, Camping, Nature Activities);;;Home and Family;;
